alt,callsign,dest_iata,dest_icao,eta,flight,fr24_id,gspeed,hex,lat,lon,operating_as,orig_iata,orig_icao,painted_as,reg,source,squawk,timestamp,track,type,vspeed,target_type_secondary
0,,,,,,26ed7ad1,0,,24.55445,-81.75745,,,,,,ADSB,0,2021-02-26T15:17:51Z,180,E55P,0,
0,N258KJ,,,,,26ed7b3a,0,A27620,24.5547,-81.75642,,EYW,KEYW,,N258KJ,ADSB,0,2021-02-26T15:18:20Z,352,SR22,0,2018 CIRRUS SR-22
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,0,A4C846,24.5553,-81.76647,SIL,EYW,KEYW,SIL,N407SV,ADSB,5744,2021-02-26T15:18:31Z,257,AT46,0,Avions de Transport Regional ATR 42 600
0,N258KJ,,,,,26ed7b3a,7,A27620,24.55491,-81.75648,,EYW,KEYW,,N258KJ,ADSB,0,2021-02-26T15:18:29Z,317,SR22,0,2018 CIRRUS SR-22
0,,,,,,26ed7ad1,0,,24.55445,-81.75745,,,,,,ADSB,0,2021-02-26T15:17:51Z,180,E55P,0,
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,0,A4C846,24.5553,-81.76647,SIL,EYW,KEYW,SIL,N407SV,ADSB,5744,2021-02-26T15:18:40Z,257,AT46,0,Avions de Transport Regional ATR 42 600
0,N258KJ,,,,,26ed7b3a,11,A27620,24.55511,-81.75678,,EYW,KEYW,,N258KJ,ADSB,0,2021-02-26T15:18:38Z,317,SR22,0,2018 CIRRUS SR-22
0,,,,,,26ed7ad1,0,,24.55445,-81.75745,,,,,,ADSB,0,2021-02-26T15:17:51Z,180,E55P,0,
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,0,A4C846,24.5553,-81.76647,SIL,EYW,KEYW,SIL,N407SV,ADSB,5744,2021-02-26T15:18:52Z,257,AT46,0,Avions de Transport Regional ATR 42 600
0,N258KJ,,,,,26ed7b3a,17,A27620,24.55528,-81.75765,,EYW,KEYW,,N258KJ,ADSB,1200,2021-02-26T15:18:51Z,270,SR22,0,2018 CIRRUS SR-22
0,,,,,,26ed7ad1,0,,24.55445,-81.75745,,,,,,ADSB,0,2021-02-26T15:17:51Z,180,E55P,0,
0,SIL75,MCO,KMCO,,3M75,26ed7a8c,0,A4C846,24.5553,-81.76647,SIL,EYW,KEYW,SIL,N407SV,ADSB,5744,2021-02-26T15:18:52Z,257,AT46,0,Avions de Transport Regional ATR 42 600
0,N258KJ,,,,,26ed7b3a,18,A27620,24.55527,-81.75825,,EYW,KEYW,,N258KJ,ADSB,1200,2021-02-26T15:18:57Z,270,SR22,0,2018 CIRRUS SR-22
